"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 12- 31","352.26","357.81","360.67","351.53","40.73M","-1.27%"
"2021- 12- 30","356.78","353.78","365.18","351.05","47.04M","-1.46%"
"2021- 12- 29","362.06","366.21","368.00","354.71","56.15M","-0.21%"
"2021- 12- 28","362.82","369.83","373.00","359.47","60.32M","-0.50%"
"2021- 12- 27","364.65","357.89","372.33","356.90","71.15M","2.52%"
"2021- 12- 23","355.67","335.60","357.66","332.52","92.71M","5.76%"
"2021- 12- 22","336.29","321.89","338.55","319.02","93.63M","7.50%"
"2021- 12- 21","312.84","305.62","313.17","295.37","71.52M","4.29%"
"2021- 12- 20","299.98","303.57","307.23","297.80","56.48M","-3.50%"
"2021- 12- 17","310.86","304.92","320.22","303.01","100.88M","0.61%"
"2021- 12- 16","308.97","331.50","331.66","307.28","82.77M","-5.03%"
"2021- 12- 15","325.33","317.74","326.25","309.42","75.17M","1.82%"
"2021- 12- 14","319.50","315.00","322.14","310.00","70.81M","-0.82%"
"2021- 12- 13","322.14","333.70","335.00","317.14","78.60M","-4.98%"
"2021- 12- 10","339.01","336.25","340.33","327.51","59.66M","1.32%"
"2021- 12- 09","334.60","353.55","354.16","334.12","59.44M","-6.10%"
"2021- 12- 08","356.32","350.90","357.46","344.33","41.91M","1.64%"
"2021- 12- 07","350.58","348.07","352.56","342.27","56.08M","4.23%"
"2021- 12- 06","336.34","333.84","340.55","316.83","81.66M","-0.59%"
"2021- 12- 03","338.32","361.60","363.52","333.40","92.32M","-6.42%"
"2021- 12- 02","361.53","366.35","371.00","352.22","73.11M","-0.95%"
"2021- 12- 01","365.00","386.90","390.95","363.59","68.80M","-4.35%"
"2021- 11- 30","381.59","381.46","389.33","372.67","81.28M","0.68%"
"2021- 11- 29","379.00","367.00","380.89","366.73","58.39M","5.09%"
"2021- 11- 26","360.64","366.49","369.59","360.33","35.04M","-3.05%"
"2021- 11- 24","372.00","360.13","377.59","354.00","67.68M","0.63%"
"2021- 11- 23","369.68","389.17","393.50","354.23","108.52M","-4.13%"
"2021- 11- 22","385.62","387.44","400.65","377.48","99.22M","1.74%"
"2021- 11- 19","379.02","366.29","379.57","364.23","64.93M","3.71%"
"2021- 11- 18","365.46","368.85","370.67","358.34","62.70M","0.68%"
"2021- 11- 17","363.00","354.50","373.21","351.83","94.34M","3.25%"
"2021- 11- 16","351.58","334.44","352.40","334.06","79.63M","4.08%"
"2021- 11- 15","337.80","339.21","343.99","326.20","104.33M","-1.94%"
"2021- 11- 12","344.47","349.17","351.50","339.73","76.72M","-2.83%"
"2021- 11- 11","354.50","367.59","368.32","351.56","67.19M","-0.42%"
"2021- 11- 10","355.98","336.80","359.37","329.10","128.41M","4.34%"
"2021- 11- 09","341.17","391.20","391.50","337.17","177.32M","-11.99%"
"2021- 11- 08","387.65","383.26","399.00","377.67","100.34M","-4.84%"
"2021- 11- 05","407.36","409.33","413.29","402.67","64.89M","-0.64%"
"2021- 11- 04","409.97","411.47","414.50","405.67","76.19M","1.32%"
"2021- 11- 03","404.62","392.44","405.13","384.21","103.89M","3.57%"
"2021- 11- 02","390.67","386.45","402.86","382.00","128.21M","-3.03%"
"2021- 11- 01","402.86","381.67","403.25","372.89","168.15M","8.49%"
"2021- 10- 29","371.33","360.62","371.74","357.73","89.76M","3.43%"
"2021- 10- 28","359.01","356.10","360.33","351.40","81.64M","3.78%"
"2021- 10- 27","345.95","346.55","356.96","343.59","115.58M","1.91%"
"2021- 10- 26","339.48","341.56","364.98","333.81","187.25M","-0.63%"
"2021- 10- 25","341.62","316.84","348.34","314.73","188.56M","12.66%"
"2021- 10- 22","303.23","298.50","303.33","296.99","68.64M","1.76%"
"2021- 10- 21","298.00","285.33","300.00","285.17","94.44M","3.26%"
"2021- 10- 20","288.60","288.45","289.83","285.79","42.10M","0.18%"
"2021- 10- 19","288.09","292.51","292.65","287.50","52.14M","-0.67%"
"2021- 10- 18","290.04","283.93","291.75","283.82","72.62M","3.21%"
"2021- 10- 15","281.01","274.58","281.07","274.12","56.77M","3.02%"
"2021- 10- 14","272.77","271.83","273.42","271.12","36.74M","0.89%"
"2021- 10- 13","270.36","270.16","271.80","268.59","42.36M","0.67%"
"2021- 10- 12","268.57","266.98","270.77","265.52","66.06M","1.74%"
"2021- 10- 11","263.98","262.55","267.08","261.83","42.60M","0.82%"
"2021- 10- 08","261.83","265.40","265.46","260.30","50.22M","-1.02%"
"2021- 10- 07","264.54","261.82","268.33","261.13","57.59M","1.39%"
"2021- 10- 06","260.92","258.73","262.22","257.74","43.90M","0.28%"
"2021- 10- 05","260.20","261.60","265.77","258.07","55.30M","-0.12%"
"2021- 10- 04","260.51","265.50","268.99","258.71","91.45M","0.81%"
"2021- 10- 01","258.41","259.47","260.26","254.53","51.09M","-0.03%"
"2021- 09- 30","258.49","260.33","263.04","258.33","53.87M","-0.75%"
"2021- 09- 29","260.44","259.93","264.50","256.89","62.83M","0.48%"
"2021- 09- 28","259.19","262.40","265.21","255.39","76.14M","-1.74%"
"2021- 09- 27","263.79","257.71","266.33","256.44","84.21M","2.19%"
"2021- 09- 24","258.13","248.63","258.27","248.19","64.12M","2.75%"
"2021- 09- 23","251.21","251.67","252.73","249.31","35.84M","0.22%"
"2021- 09- 22","250.65","247.84","251.22","246.37","45.38M","1.70%"
"2021- 09- 21","246.46","244.93","248.25","243.48","48.99M","1.26%"
"2021- 09- 20","243.39","244.85","247.33","239.54","74.27M","-3.86%"
"2021- 09- 17","253.16","252.38","253.68","250.00","84.61M","0.33%"
"2021- 09- 16","252.33","250.94","252.97","249.20","41.77M","0.15%"
"2021- 09- 15","251.94","248.33","252.29","246.12","46.07M","1.52%"
"2021- 09- 14","248.16","247.52","251.49","245.47","55.57M","0.20%"
"2021- 09- 13","247.67","246.74","248.26","236.28","68.86M","0.92%"
"2021- 09- 10","245.42","253.20","254.20","244.84","45.55M","-2.46%"
"2021- 09- 09","251.62","251.14","254.03","250.54","42.23M","0.13%"
"2021- 09- 08","251.29","253.86","254.82","246.92","56.38M","0.13%"
"2021- 09- 07","250.97","246.67","253.40","246.42","60.12M","2.64%"
"2021- 09- 03","244.52","244.08","244.67","241.40","45.81M","0.16%"
"2021- 09- 02","244.13","244.83","246.99","243.51","38.39M","-0.23%"
"2021- 09- 01","244.70","244.69","247.33","243.76","39.61M","-0.22%"
"2021- 08- 31","245.24","244.33","246.80","242.15","62.57M","0.66%"
"2021- 08- 30","243.64","238.24","243.67","237.58","55.81M","2.67%"
"2021- 08- 27","237.31","235.00","238.33","234.03","41.50M","1.54%"
"2021- 08- 26","233.72","236.10","238.47","232.54","39.64M","-1.41%"
"2021- 08- 25","237.07","235.68","238.99","234.67","37.94M","0.39%"
"2021- 08- 24","236.16","236.89","238.41","234.21","39.25M","0.31%"
"2021- 08- 23","235.43","228.48","237.38","226.92","60.79M","3.83%"
"2021- 08- 20","226.75","227.62","230.71","224.57","44.53M","1.01%"
"2021- 08- 19","224.49","226.07","228.85","222.53","42.94M","-2.25%"
"2021- 08- 18","229.66","223.25","231.92","223.12","61.05M","3.50%"
"2021- 08- 17","221.90","224.22","224.86","216.28","71.16M","-2.98%"
"2021- 08- 16","228.72","235.02","236.50","225.47","69.31M","-4.33%"
"2021- 08- 13","239.06","241.24","243.30","238.11","50.19M","-0.70%"
"2021- 08- 12","240.75","235.45","240.93","233.13","53.05M","2.04%"
"2021- 08- 11","235.94","237.57","238.39","234.74","29.40M","-0.30%"
"2021- 08- 10","236.66","238.00","238.86","233.96","40.30M","-0.53%"
"2021- 08- 09","237.92","236.72","239.68","235.04","44.15M","2.10%"
"2021- 08- 06","233.03","237.30","238.78","232.54","46.87M","-2.17%"
"2021- 08- 05","238.21","238.67","240.32","237.14","38.76M","0.52%"
"2021- 08- 04","236.97","237.00","241.63","236.31","51.01M","0.16%"
"2021- 08- 03","236.58","239.67","240.88","233.67","64.86M","0.01%"
"2021- 08- 02","236.56","233.33","242.31","232.80","100.85M","3.27%"
"2021- 07- 30","229.07","223.92","232.51","223.00","88.97M","1.46%"
"2021- 07- 29","225.78","216.60","227.90","216.27","91.18M","4.69%"
"2021- 07- 28","215.66","215.66","218.32","213.13","48.02M","0.34%"
"2021- 07- 27","214.93","221.13","222.17","209.08","98.44M","-1.95%"
"2021- 07- 26","219.21","216.99","222.73","215.70","76.01M","2.21%"
"2021- 07- 23","214.46","215.45","216.27","212.43","43.81M","-0.91%"
"2021- 07- 22","216.42","218.81","220.72","214.87","45.32M","-0.92%"
"2021- 07- 21","218.43","219.87","221.62","216.76","41.86M","-0.79%"
"2021- 07- 20","220.17","217.33","220.80","213.50","46.46M","2.21%"
"2021- 07- 19","215.41","209.96","215.73","207.10","63.89M","0.31%"
"2021- 07- 16","214.74","218.23","218.90","214.07","49.11M","-0.98%"
"2021- 07- 15","216.87","219.46","222.05","212.63","60.63M","-0.42%"
"2021- 07- 14","217.79","223.58","226.20","217.61","64.92M","-2.27%"
"2021- 07- 13","222.85","228.77","231.09","222.10","62.90M","-2.50%"
"2021- 07- 12","228.57","220.73","229.08","220.72","77.78M","4.38%"
"2021- 07- 09","218.98","217.73","219.64","214.90","54.42M","0.63%"
"2021- 07- 08","217.60","209.46","218.14","206.82","68.32M","1.27%"
"2021- 07- 07","214.88","221.42","221.90","212.77","56.38M","-2.27%"
"2021- 07- 06","219.86","227.24","228.00","217.13","69.85M","-2.85%"
"2021- 07- 02","226.30","226.33","233.33","224.42","81.29M","0.15%"
"2021- 07- 01","225.97","227.97","229.33","224.27","55.90M","-0.26%"
"2021- 06- 30","226.57","226.59","230.94","226.05","56.77M","-0.15%"
"2021- 06- 29","226.92","228.22","229.17","225.30","52.14M","-1.15%"
"2021- 06- 28","229.57","223.88","231.57","223.44","64.88M","2.50%"
"2021- 06- 25","223.96","229.86","231.27","222.90","97.49M","-1.17%"
"2021- 06- 24","226.61","225.00","232.54","222.54","137.95M","3.54%"
"2021- 06- 23","218.86","210.67","219.07","210.01","93.30M","5.27%"
"2021- 06- 22","207.90","206.08","209.52","205.17","57.48M","0.46%"
"2021- 06- 21","206.94","208.16","210.46","202.96","74.44M","-0.40%"
"2021- 06- 18","207.77","204.46","209.45","203.93","73.68M","1.09%"
"2021- 06- 17","205.53","200.63","207.16","200.45","68.10M","1.94%"
"2021- 06- 16","201.62","199.18","202.83","197.83","66.43M","0.92%"
"2021- 06- 15","199.79","205.56","205.60","199.41","53.29M","-2.97%"
"2021- 06- 14","205.90","204.08","208.50","203.06","61.27M","1.28%"
"2021- 06- 11","203.30","203.41","204.19","200.51","48.62M","-0.03%"
"2021- 06- 10","203.37","201.29","205.53","200.17","71.76M","1.89%"
"2021- 06- 09","199.59","200.72","203.93","199.21","49.75M","-0.80%"
"2021- 06- 08","201.20","207.67","207.70","198.50","78.16M","-0.25%"
"2021- 06- 07","201.71","197.27","203.33","194.29","67.63M","1.02%"
"2021- 06- 04","199.68","193.24","200.20","192.40","72.11M","4.57%"
"2021- 06- 03","190.95","200.60","201.52","190.41","90.34M","-5.33%"
