id,user_name,text,write_date
1288980527962132481,Elon Musk,@JaneidyEve Lo Que Construimos https://t.co/2yg5GAtgV9,2020.07.30
1288973971514302466,Elon Musk,@thesheetztweetz Cool,2020.07.30
1288935356310552576,Elon Musk,https://t.co/8lpvwbeC4R,2020.07.30
1288928622728712192,Elon Musk,Starship SN5 just completed full duration static fire. 150m hop soon.,2020.07.30
1288925451902054400,Elon Musk,🖤🧛‍♀️Total Eclipse of the Heart 🧛‍♀️🖤 https://t.co/n8djdlKnbE,2020.07.30
1288922868072366086,Elon Musk,@lnterestingMaps @Iearnsomethlng 😮,2020.07.30
1288922122115403776,Elon Musk,@bluemoondance74 @PPathole @flcnhvy @shravantr @Neuro_Skeptic Not that I’m aware of,2020.07.30
1288904171324731394,Elon Musk,@PPathole @flcnhvy @shravantr @Neuro_Skeptic Yes. Could also extend range of hearing beyond normal frequencies and amplitudes. Deus Ex.,2020.07.30
1288902305815777281,Elon Musk,"@flcnhvy @shravantr @Neuro_Skeptic Neuralinks are currently meant for mature brains &amp; functionality is lost if removed. Rewiring of neurons is certainly possible, but won’t make up for loss of the Link.",2020.07.30
1288892543061487616,Elon Musk,"@shravantr @Neuro_Skeptic Yes, should be possible to create a neural shunt from motor cortex to microcontrollers in muscle groups &amp; restore movement even if someone has a fully severed spinal cord. First part has already been demonstrated with Utah array, but not as an outpatient device.",2020.07.30
1288889018512367616,Elon Musk,@Neuro_Skeptic Will show neurons firing in real-time on August 28th. The matrix in the matrix.,2020.07.30
1288887053388664832,Elon Musk,@Neuro_Skeptic They don’t fire all at once. Some go several seconds to minutes without firing. Some fire several times per second. Very wide timing distribution.,2020.07.30
1288883228305047552,Elon Musk,@NASAPersevere @ulalaunch @NASA_LSP Congrats on a great launch!,2020.07.30
1288759969064468481,Elon Musk,But sometimes when we touch …https://t.co/KMassjCtIx,2020.07.30
1288754654570930176,Elon Musk,@jelle56367384 @Anvithvittal @DNPthree @tiesto Adagio for Strings is greathttps://t.co/RgY1P1VGoU,2020.07.30
1288751116562206720,Elon Musk,Losing Ithttps://t.co/9HOY0ldzg4,2020.07.30
1288750020208992257,Elon Musk,@EuroSandor @RSprachrohr 🤣🤣,2020.07.30
1288748977324605440,Elon Musk,@RenataKonkoly @Sneakyness Mein Herz Brennt. Best boss battle song ever. https://t.co/JIl6vzhQAx,2020.07.30
1288747096305065984,Elon Musk,@flcnhvy Robot Heart is 🔥🔥,2020.07.30
1288744819829833728,Elon Musk,@tobyliiiiiiiiii Sure,2020.07.30
1288744630788304897,Elon Musk,Sure could use a good raveWhat’s your favorite techno,2020.07.30
1288734164485898240,Elon Musk,I … I just died in your arms tonight,2020.07.30
1288729803663843329,Elon Musk,The rumor that Bill Gates &amp; I are lovers is completely untrue,2020.07.30
1288725893259698176,Elon Musk,@WholeMarsBlog @PPathole Yeah. Display will also soon render Teslas specifically as their model &amp; color instead of as a generic sedan/SUV. Has potential for a fun punch buggy sort of game.,2020.07.30
1288724824009977857,Elon Musk,@keith31345919 @PPathole https://t.co/S8mdWgCdFg,2020.07.30
1288724211767418880,Elon Musk,"@keith31345919 @PPathole We’ve been working on this for about 4 years. Originally meant for rabies vaccine, but it can make pretty much anything that’s an RNA sequence. Critical path is completing human trials.",2020.07.30
1288722944693276672,Elon Musk,@keith31345919 @PPathole https://t.co/0kAAv0DtNn,2020.07.30
1288722245280464896,Elon Musk,@PPathole 🎶 Billy G is not my lover 🎶,2020.07.30
1288722022323781633,Elon Musk,@PPathole Sounds like he doesn’t realize Tesla makes the vaccine machine for CureVac,2020.07.30
1288680039823765504,Elon Musk,@mkarolian @Tesla Thanks for letting me know. Will dig into it.,2020.07.30
1288388389666922496,Elon Musk,@GreenDragonBot 😉,2020.07.29
1288373683736649728,Elon Musk,@thesheetztweetz Sum &gt; parts,2020.07.29
1288370540973981696,Elon Musk,"@Teslarati Should add a few miles of range, more in slow traffic",2020.07.29
1288276115816091649,Elon Musk,@Kristennetten @xiang_aw @OwenSparks_ @BernieSanders The government has the most money by far. They talk in trillions.,2020.07.29
1288267661286215680,Elon Musk,@jgrano305 @TeslaOwnersNBay Haha no one can ever have our top secret fart technology!!,2020.07.29
1288267313729474561,Elon Musk,@TeslaOwnersNBay 💕 💕,2020.07.29
1288265584178798592,Elon Musk,@sam_lopezXx @Teslarati Sure,2020.07.29
1288265150928125952,Elon Musk,"@Teslarati Tesla is open to licensing software and supplying powertrains &amp; batteries. We’re just trying to accelerate sustainable energy, not crush competitors!",2020.07.29
1288263720007761920,Elon Musk,@xiang_aw @OwenSparks_ @BernieSanders What he doesn’t appear to appreciate is that government is just a monopolist corporation in the limit,2020.07.29
1288260255009341440,Elon Musk,@slashdot !,2020.07.28
1288158958155423749,Elon Musk,@Techgnostik @schristakos @BernieSanders Agreed,2020.07.28
1288158863863287809,Elon Musk,@EvaFoxU @schristakos @BernieSanders Haha,2020.07.28
1288157335668629504,Elon Musk,@DMC_Ryan @rodamn It’s a prototype of the color,2020.07.28
1288155738423074816,Elon Musk,@schristakos @BernieSanders And to think I used to like Bernie! 😢 https://t.co/adojS2UCe3,2020.07.28
1288153472534183940,Elon Musk,@vistacruiser7 @schristakos @BernieSanders @BernieSanders 🕊🕊,2020.07.28
1288151276207738880,Elon Musk,@schristakos @BernieSanders Maybe he’s feeling the bern haha,2020.07.28
1287965692298268673,Elon Musk,"@NASASpaceflight Fuel spin valve didn’t open. Will fix &amp; try again tomorrow. Also, some odd TVC hydraulic pump behavior.",2020.07.28
1287926090715947009,Elon Musk,"@NASASpaceflight I was just out at the launch pad. Connector damaged in the storm, but fixed now. Might be able to fire tonight or at least get to the next issue.",2020.07.28
1287839317537284096,Elon Musk,"@PrisonPlanet Whether commercial or government, monopolies are bad for the people",2020.07.27
1287829529721962499,Elon Musk,@Teslarati Sounds great,2020.07.27
1287828284852535301,Elon Musk,@enn_nafnlaus @TheOnion Haha,2020.07.27
1287824348460593154,Elon Musk,Das Kapital in a nutshell https://t.co/mG44mMkitx,2020.07.27
1287822920966905858,Elon Musk,@anthm17 What I like most is their great sense of humor,2020.07.27
1287818109651431427,Elon Musk,The left is losing the middle,2020.07.27
1287808934569545730,Elon Musk,@RationalEtienne @TheOnion Exactly,2020.07.27
1287805905422159873,Elon Musk,@RationalEtienne @atNickVega @TheOnion 🤣🤣,2020.07.27
1287796199014244355,Elon Musk,Hold my beer https://t.co/IK3tT1x4wP,2020.07.27
