id,user_name,text,write_date
21256028277014528,FITTYPILOT,"CATL의 저렴한 (하지만 더 안정적인) LFP 배터리를 채용한 2.5만불짜리 모델이 나온다면, 저렴한 차가격을 봤을때 만불짜리 FSD를 구매하기보단 월 199불짜리 구독을 주로 하게될테고 그럼 테슬라로서는 개꿀? 덩달아 우럽시장 평정까지 가능, 얼른 작은모델과 FSD가 완성되어야 하는 이유",2021.07.30
21254280128843777,주싱,테슬라에서 🛠 자동차 제조 프로세스에 Web UI를 적용하는 것 같네요. 🚖 댓글을 자세히 보니 아직 자동차 내부 UI에는 적용하지 않는 것 같네요.,2021.07.30
21252699048214531,리스펙,"작년초부터 테슬라에 투자했고, 작년말부터 비트코인을 투자했기에 두 자산이 동시에 오르는 시절에 대한 경험이 적었다.둘 다 바닥을 잡고 다시 상승하는 시기인 지금, 경험해보니.. 놀라운 수익상승이 매일 나타난다. 역시 어벤져스.. 👍$Tesla 🚀, $BTC 🚀, $ETH 🚀",2021.07.30
21251860053127168,피터,우리 집보다 침대가 더 좋아..어떡하지. 테슬라..? 계속 여기서 지내고 싶어졌어.,2021.07.30
21243244004868098,Jerry Park,"@sangukKim5 @IamGPT3 @chocojun @rochlobe2 일단 저도 어제 정찰병 보냈어요. 테슬라에 다 들어가있어서 정찰병들만 보낼 수 밖에 없는... 😅",2021.07.30
21240743486640129,리얼치킨보이,"@jaehwa @devwario 복점으로 갑시다.ios와 안드로이드가 있는 것처럼차량 생태계에서는 이제 테슬라가 1위  ios 2위 형태로?!",2021.07.30
21236556233273346,한테타 (한국에서 테슬라 타기),"Tim Higgins가 쓴 Power Play라는 책에 나오는 내용 일론 : 애플이 테슬라를 인수해 줘.팀쿡 : 그래? 좋아.일론 : CEO는 내가 할거야.팀쿡 : 내 밑에서 CEO하는거야 찬성이지.일론 : 아니, 애플CEO말야.팀쿡 : 조까.실제 둘의 주장은일론 : 팀쿡은 만나주지도 않음.팀쿡 : 말도 섞은 적 없음",2021.07.30
21236332286730242,Jerry Park,"@devwario 나중에, 그 언젠가...애플이 전기차를 만들고(?) 시장에 뛰어들었을 때 애플의 생태계를 그대로 가져갈텐데,앱의 퀄리티나 다양성, 개발자/개발사와의 윈윈을테슬라가 가져가려면 어떻게 판을 깔아야 할까요?",2021.07.30
21235387473661953,Musk School,"1/ 팀쿡과 저는 말해본 적도 서신을 나눈 적도 없습니다.애플이 테슬라를 사는 것에 대해 이야기해볼려고, 제가 미팅을 요청한 적이 한번 있네요. 인수조건에 대해선 그 어떤것도 제안된 것이 없었고요.쿡은 만남을 거절했고, 당시 테슬라의 가치는 지금의 약 6%였습니다.",2021.07.30
21234908056363009,리얼치킨보이,테슬라는 선방 https://t.co/ri0XZtllU5,2021.07.30
21233721978417154,금주 적금 시작한 싴충이,안산 선수가 받는 연금에도 테슬라 들어있을 걸 ㅋㅋㅋ 낄낄,2021.07.30
21233398073335808,금주 적금 시작한 싴충이,뭐 돈 많으면 테슬라 사줘~ 국내에서 잘팔리면 증시에도 영향이 있겠지 ^^ 훟후,2021.07.30
21231005248098307,TeslaZoa,"이번 머스크의 트윗에서 눈에 띄는 것은,fee(수수료) 와 duopoly(독점), 그리고 security(보안)이다.이미 오래 전부터, 테슬라의 구독 경제에 스케치 했을 @elonmusk 의 그 그림이 궁금하다.",2021.07.30
21210531881373698,모건사랑👁캐리사랑💓가오가육체를지배한다☆投資之神⭐전략적으로사고하고뮈췬년처럼행동하는type,임상실험 성공했다 하면 무조건 죽어라~ 테슬라 차 폭발해서 사람 죽었다고 하면 판돈을 키워라~ 호구에게 고가에 분양하고 싶을땐 팬티를(실적을)보여줘라 https://t.co/RfeZBiihxl,2021.07.30
21181051859132416,SCP-BOT,"SCP-2700ㅣ안전ㅣ텔레포스ㅣ니콜라 테슬라에 의해 개발된 고성능의 지향성 에너지 무기로 추정됩니다. 3개의 구성 요소로 이루어져 있으며 조작판, 가속기, 코어로 구성됩니다.",2021.07.30
21176349197160448,피터,"...??! 아, 안 돼. 테슬라 나 얼른 잡아줘...!! 무서워..",2021.07.30
21168182564331523,jude,지금 테슬라 팔고 나가는 사람들은 대체 어떤 맹꽁이들일까…,2021.07.30
